City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,30.98,87,75,3.13,EC,1680370947
1,sitka,57.0531,-135.33,2.94,75,40,0.0,US,1680370948
2,albany,42.6001,-73.9662,19.82,60,72,2.24,US,1680370948
3,constitucion,-35.3333,-72.4167,22.32,47,65,7.23,CL,1680370948
4,rikitea,-23.1203,-134.9692,26.61,80,35,6.37,PF,1680370948
5,ponta do sol,32.6667,-17.1,24.84,68,15,3.24,PT,1680370948
6,zhanaozen,43.3,52.8,6.01,86,100,6.54,KZ,1680370949
7,saskylakh,71.9167,114.0833,-10.52,92,100,7.35,RU,1680370949
8,tiksi,71.6872,128.8694,-19.28,84,24,9.66,RU,1680370949
9,eusebio ayala,-25.4,-56.9667,33.22,42,38,1.93,PY,1680370950
10,cherskiy,68.75,161.3,-33.75,100,99,0.26,RU,1680370950
11,malpe,13.35,74.7167,26.61,80,15,2.02,IN,1680370950
12,barrow,71.2906,-156.7887,-15.99,92,100,0.0,US,1680370951
13,hilo,19.7297,-155.09,25.71,88,100,2.06,US,1680370951
14,nemuro,43.3236,145.575,0.69,86,23,8.58,JP,1680370737
15,avarua,-21.2078,-159.775,25.03,94,75,1.54,CK,1680370952
16,teguldet,57.3064,88.1667,-13.07,95,87,1.43,RU,1680370952
17,egvekinot,66.3167,-179.1667,-12.25,95,100,3.47,RU,1680370953
18,busselton,-33.65,115.3333,17.68,80,0,5.77,AU,1680370953
19,vardo,70.3705,31.1107,-2.01,86,100,13.38,NO,1680370953
20,dajabon,19.5488,-71.7083,35.37,18,0,6.5,DO,1680370953
21,hualmay,-11.0964,-77.6139,26.0,75,97,3.74,PE,1680370732
22,quatre cocos,-20.2078,57.7625,26.72,72,31,6.77,MU,1680370954
23,glendive,47.1053,-104.7125,5.98,70,0,5.66,US,1680370954
24,umm kaddadah,13.6017,26.6876,24.06,10,91,5.32,SD,1680370954
25,rawson,-43.3002,-65.1023,25.31,27,83,10.0,AR,1680370853
26,batagay,67.6333,134.6333,-31.72,100,92,0.88,RU,1680370955
27,ushuaia,-54.8,-68.3,7.81,66,0,2.57,AR,1680370955
28,marzuq,14.4,46.4667,23.85,70,97,2.83,YE,1680370955
29,talaya,61.3833,152.75,-14.27,98,90,1.59,RU,1680370956
30,mar del plata,-38.0023,-57.5575,20.46,55,0,3.6,AR,1680370956
31,yellowknife,62.456,-114.3525,-14.71,66,100,8.75,CA,1680370956
32,chuy,-33.6971,-53.4616,21.22,49,23,6.02,UY,1680370956
33,maryborough,-25.5333,152.7,18.89,67,100,1.51,AU,1680370957
34,pacific grove,36.6177,-121.9166,14.68,63,0,4.02,US,1680370957
35,tuktoyaktuk,69.4541,-133.0374,-24.0,70,20,4.63,CA,1680370957
36,punta arenas,-53.15,-70.9167,10.06,57,75,11.83,CL,1680370694
37,new norfolk,-42.7826,147.0587,11.72,78,100,0.45,AU,1680370958
38,faanui,-16.4833,-151.75,27.75,73,47,2.38,PF,1680370958
39,yulara,-25.2406,130.9889,15.83,79,79,3.3,AU,1680370958
40,jaque,7.5175,-78.1703,27.34,79,86,0.99,PA,1680370958
41,mount gambier,-37.8333,140.7667,8.95,85,44,0.34,AU,1680370959
42,bethel,41.3712,-73.414,19.08,85,100,5.66,US,1680370713
43,pangnirtung,66.1451,-65.7125,-12.0,48,75,2.06,CA,1680370959
44,qaanaaq,77.484,-69.3632,-22.8,75,8,1.37,GL,1680370959
45,lagoa,39.05,-27.9833,16.01,87,100,9.06,PT,1680370959
46,mnogovershinnyy,53.9353,139.9242,-3.94,89,19,2.6,RU,1680370960
47,kot samaba,28.5522,70.4684,27.4,37,49,1.66,PK,1680370960
48,east london,-33.0153,27.9116,22.52,78,75,3.09,ZA,1680370960
49,chandler,33.3062,-111.8412,23.36,29,53,0.89,US,1680370693
50,jamestown,42.097,-79.2353,17.8,36,0,9.77,US,1680370960
51,vaini,-21.2,-175.2,25.09,94,20,3.09,TO,1680370960
52,kapaa,22.0752,-159.319,22.18,94,100,3.6,US,1680370960
53,port elizabeth,-33.918,25.5701,19.62,74,0,3.09,ZA,1680370855
54,salalah,17.0151,54.0924,28.05,78,40,3.6,OM,1680370961
55,arraial do cabo,-22.9661,-42.0278,28.98,70,20,6.17,BR,1680370961
56,mahebourg,-20.4081,57.7,26.81,78,20,2.57,MU,1680370961
57,khatanga,71.9667,102.5,-6.82,93,100,10.16,RU,1680370961
58,tuatapere,-46.1333,167.6833,11.72,99,68,1.72,NZ,1680370961
59,hobart,-42.8794,147.3294,11.92,79,99,0.89,AU,1680370962
60,nago,26.5881,127.9761,20.25,83,81,8.19,JP,1680370962
61,bluff,-46.6,168.3333,13.22,86,48,7.11,NZ,1680370962
62,anadyr,64.75,177.4833,-14.44,84,19,10.0,RU,1680370962
63,kaitangata,-46.2817,169.8464,11.63,88,100,4.55,NZ,1680370962
64,poum,-20.2333,164.0167,25.71,75,2,1.78,NC,1680370962
65,kamaishi,39.2667,141.8833,3.75,92,1,0.97,JP,1680370962
66,uribia,11.7139,-72.266,30.91,50,66,9.56,CO,1680370962
67,wajima,37.4,136.9,9.15,69,0,8.04,JP,1680370693
68,santa cruz,-17.8,-63.1667,29.03,70,75,6.69,BO,1680370963
69,kainantu,-6.2887,145.8655,15.3,98,100,0.71,PG,1680370963
70,vanavara,60.34,102.2797,-24.09,100,36,1.31,RU,1680370963
71,georgetown,5.4112,100.3354,28.96,83,20,1.54,MY,1680370829
72,bonthe,7.5264,-12.505,28.45,70,70,5.05,SL,1680370589
73,iqaluit,63.7506,-68.5145,-11.15,72,100,3.6,CA,1680370964
74,husavik,66.0449,-17.3389,3.06,87,82,4.36,IS,1680370964
75,fortuna,40.5982,-124.1573,11.63,85,100,1.34,US,1680370964
76,victoria,22.2855,114.1577,22.19,92,100,4.92,HK,1680370671
77,katobu,-4.9408,122.5276,23.85,95,97,0.97,ID,1680370964
78,behshahr,36.6923,53.5526,7.97,88,100,3.58,IR,1680370965
79,portland,45.5234,-122.6762,7.69,89,100,4.92,US,1680370637
80,cidreira,-30.1811,-50.2056,22.39,51,8,4.82,BR,1680370965
81,kodiak,57.79,-152.4072,0.73,55,0,10.8,US,1680370965
82,sturgeon falls,46.3646,-79.9326,1.14,93,100,7.32,CA,1680370965
83,nyurba,63.2842,118.3319,-24.35,99,40,1.89,RU,1680370965
84,ostrovnoy,68.0531,39.5131,-1.04,68,70,6.33,RU,1680370966
85,pisco,-13.7,-76.2167,25.57,83,0,3.6,PE,1680370966
86,hengshui,37.7322,115.7011,13.73,61,2,3.75,CN,1680370966
87,mataura,-46.1927,168.8643,13.04,95,56,1.98,NZ,1680370966
88,san joaquin,37.9333,-121.3011,15.86,57,0,2.57,US,1680370966
89,aleksandrov gay,50.147,48.5704,7.31,67,100,3.42,RU,1680370966
90,clyde river,70.4692,-68.5914,-20.87,77,0,6.17,CA,1680370817
91,coquimbo,-29.9533,-71.3436,18.85,77,75,4.12,CL,1680370967
92,ballina,-28.8667,153.5667,15.43,89,17,2.97,AU,1680370967
93,talnakh,69.4865,88.3972,-8.79,94,100,8.33,RU,1680370841
94,hithadhoo,-0.6,73.0833,28.07,70,76,2.22,MV,1680370967
95,chokurdakh,70.6333,147.9167,-32.49,100,96,3.11,RU,1680370967
96,longyearbyen,78.2186,15.6401,-12.09,67,75,5.14,SJ,1680370967
97,mattru,7.6244,-11.8332,30.15,59,41,4.0,SL,1680370967
98,ribeira grande,38.5167,-28.7,19.22,82,40,8.05,PT,1680370967
99,paredon,16.0333,-93.8667,34.05,44,85,4.95,MX,1680370968
100,beringovskiy,63.05,179.3167,-7.97,65,75,10.72,RU,1680370968
101,craigieburn,-37.6,144.95,11.73,87,40,2.57,AU,1680370968
102,lianzhou,24.7811,112.3825,18.84,98,72,1.13,CN,1680370968
103,ermelo,-26.5333,29.9833,13.8,78,21,3.36,ZA,1680370968
104,mount isa,-20.7333,139.5,24.87,36,100,4.12,AU,1680370968
105,ritchie,-29.038,24.6028,21.56,28,17,3.52,ZA,1680370968
106,esperance,-33.8667,121.9,17.91,80,100,4.21,AU,1680370968
107,san policarpo,12.1791,125.5072,26.03,80,56,1.4,PH,1680370969
108,ahipara,-35.1667,173.1667,19.12,87,100,0.98,NZ,1680370969
109,cairns,-16.9167,145.7667,25.04,97,79,0.0,AU,1680370969
110,bilma,18.6853,12.9164,26.86,5,88,3.37,NE,1680370970
111,cape town,-33.9258,18.4232,19.39,78,0,6.26,ZA,1680370454
112,nanakuli,21.3906,-158.1547,24.14,88,0,2.06,US,1680370970
113,castro,-24.7911,-50.0119,24.15,71,10,2.26,BR,1680370970
114,vila velha,-20.3297,-40.2925,30.97,62,20,6.69,BR,1680370803
115,port alfred,-33.5906,26.891,21.21,85,1,1.34,ZA,1680370971
116,axim,4.8699,-2.2405,27.93,76,27,3.83,GH,1680370971
117,samarai,-10.6167,150.6667,27.48,77,100,4.07,PG,1680370971
118,kadoma,34.7333,135.5833,13.99,43,92,3.6,JP,1680370971
119,hermanus,-34.4187,19.2345,18.22,68,0,3.48,ZA,1680370972
120,calarasi,47.2544,28.3081,11.44,77,100,3.35,MD,1680370972
121,palmer,42.1584,-72.3287,15.18,92,100,4.9,US,1680370708
122,nanortalik,60.1432,-45.2371,-1.44,71,62,3.11,GL,1680370972
123,dikson,73.5069,80.5464,-9.58,95,100,5.89,RU,1680370972
124,konstantinovka,49.6167,127.9833,9.03,50,100,3.74,RU,1680370972
125,nikolskoye,59.7035,30.7861,0.94,95,100,2.5,RU,1680370972
126,laguna,38.421,-121.4238,14.78,64,66,1.34,US,1680370972
127,ancud,-41.8697,-73.8203,14.08,82,79,3.59,CL,1680370972
128,tasiilaq,65.6145,-37.6368,0.09,81,99,2.94,GL,1680370973
129,byron bay,-28.65,153.6167,15.39,99,16,1.46,AU,1680370965
130,sholapur,17.6833,75.9167,30.32,16,39,3.17,IN,1680370973
131,thompson,55.7435,-97.8558,-10.91,48,20,3.6,CA,1680370748
132,chimbote,-9.0853,-78.5783,27.6,70,95,4.7,PE,1680370973
133,wanning,18.8003,110.3967,24.47,92,16,3.62,CN,1680370973
134,half moon bay,37.4636,-122.4286,15.5,64,0,3.6,US,1680370973
135,te anau,-45.4167,167.7167,12.09,99,94,1.83,NZ,1680370973
136,rodeo,38.033,-122.2669,15.36,69,0,2.57,US,1680370973
137,kidal,18.4411,1.4078,30.89,6,10,4.15,ML,1680370974
138,cabo san lucas,22.8909,-109.9124,28.67,64,75,4.12,MX,1680370778
139,filadelfia,39.9523,-75.1638,20.23,85,100,6.17,US,1680370744
140,severo-kurilsk,50.6789,156.125,-0.24,84,8,6.19,RU,1680370974
141,bijar,35.8668,47.6051,-1.32,60,47,5.21,IR,1680370974
142,statesboro,32.4488,-81.7832,26.89,61,75,5.14,US,1680370974
143,ramachandrapuram,16.85,82.0167,25.44,86,46,1.23,IN,1680370974
144,mutoko,-17.397,32.2268,17.91,67,97,3.36,ZW,1680370974
145,norman wells,65.282,-126.8329,-12.98,78,100,1.03,CA,1680370974
146,pontal do parana,-25.6533,-48.5128,25.55,82,82,3.61,BR,1680370974
147,nouakchott,18.0858,-15.9785,39.96,40,0,4.7,MR,1680370974
148,deep river,46.1001,-77.4995,1.64,97,100,1.79,CA,1680370974
149,kasongo-lunda,-6.4667,16.8167,22.54,93,100,0.57,CD,1680370975
150,makakilo city,21.3469,-158.0858,23.34,85,0,2.06,US,1680370976
151,lukulu,-14.3707,23.242,19.79,88,100,2.41,ZM,1680370977
152,grand-lahou,5.1367,-5.0242,27.64,76,100,2.61,CI,1680370977
153,kavieng,-2.5744,150.7967,26.66,83,100,4.18,PG,1680370977
154,kontagora,10.3999,5.4695,33.19,9,20,1.53,NG,1680370977
155,sambava,-14.2667,50.1667,25.36,87,100,2.53,MG,1680370977
156,luwuk,-0.9516,122.7875,24.82,76,100,1.56,ID,1680370977
157,bolanos de calatrava,38.9069,-3.6635,19.82,44,40,8.23,ES,1680370962
158,phibun mangsahan,15.2447,105.2291,29.99,51,97,3.48,TH,1680370977
159,taltal,-25.4,-70.4833,22.77,74,25,2.02,CL,1680370977
160,upernavik,72.7868,-56.1549,-26.38,92,98,4.44,GL,1680370977
161,atuona,-9.8,-139.0333,26.89,78,79,7.14,PF,1680370977
162,lander,42.833,-108.7307,7.45,31,0,8.23,US,1680370978
163,mehamn,71.0357,27.8492,-2.05,80,100,11.32,NO,1680370978
164,tigil,57.8,158.6667,-2.77,93,95,4.57,RU,1680370978
165,grindavik,63.8424,-22.4338,5.26,87,75,12.86,IS,1680370978
166,ossora,59.2353,163.0719,-7.69,95,98,1.67,RU,1680370978
167,inta,66.0317,60.1659,0.7,98,100,7.7,RU,1680370978
168,manggar,-2.8833,108.2667,25.26,86,88,1.09,ID,1680370978
169,yar-sale,66.8333,70.8333,1.09,99,100,8.16,RU,1680370978
170,san francisco,37.7749,-122.4194,15.28,70,20,3.6,US,1680370789
171,cabedelo,-6.9811,-34.8339,30.37,65,84,5.0,BR,1680370978
172,oktyabrskiy,54.4815,53.471,2.45,94,100,1.56,RU,1680370979
173,saint george,37.1041,-113.5841,13.57,45,0,1.34,US,1680370979
174,baijiantan,45.6333,85.1833,-0.09,27,0,10.44,CN,1680370979
175,honiara,-9.4333,159.95,25.13,88,99,1.36,SB,1680370979
176,jawhar,2.7809,45.5005,27.69,65,98,7.27,SO,1680370979
177,kieta,-6.2167,155.6333,25.35,85,68,0.93,PG,1680370979
178,segou,13.4317,-6.2157,37.11,5,20,4.45,ML,1680370979
179,oslo,59.9127,10.7461,6.19,95,9,1.28,NO,1680370670
180,srednekolymsk,67.45,153.6833,-26.61,100,100,3.25,RU,1680370979
181,los llanos de aridane,28.6585,-17.9182,20.86,68,0,7.2,ES,1680370979
182,kyren,51.6828,102.1408,-12.11,80,88,1.52,RU,1680370980
183,tomaszow mazowiecki,51.5313,20.0086,8.09,10,100,5.4,PL,1680370980
184,madera,37.1666,-119.8343,16.1,74,27,1.71,US,1680370690
185,bambanglipuro,-7.95,110.2833,23.97,87,100,1.42,ID,1680370980
186,dandong,40.1292,124.3947,11.16,28,61,1.36,CN,1680370980
187,butaritari,3.0707,172.7902,27.3,75,100,5.16,KI,1680370980
188,katsuura,35.1333,140.3,13.49,85,100,2.87,JP,1680370980
189,provost,52.3501,-110.2683,-2.37,97,100,2.09,CA,1680370980
190,gushikawa,26.3544,127.8686,20.57,77,20,7.72,JP,1680370980
191,sao joao da barra,-21.6403,-41.0511,35.05,44,61,3.63,BR,1680370981
192,lasa,46.6166,10.7002,9.49,89,100,2.09,IT,1680370981
193,saldanha,-33.0117,17.9442,23.03,85,3,6.95,ZA,1680370981
194,yumen,40.2833,97.2,1.76,33,65,5.02,CN,1680370982
195,kawerau,-38.1,176.7,18.54,97,100,0.63,NZ,1680370982
196,nantucket,41.2835,-70.0995,11.19,98,100,12.35,US,1680370887
197,bredasdorp,-34.5322,20.0403,17.29,92,0,2.81,ZA,1680370983
198,portalegre,39.2938,-7.4312,15.66,76,89,4.6,PT,1680370684
199,presidencia roque saenz pena,-26.7852,-60.4388,30.82,43,15,2.74,AR,1680370984
200,dangriga,16.9692,-88.2321,27.72,66,33,6.8,BZ,1680370984
201,tual,-5.6667,132.75,27.51,76,100,1.75,ID,1680370985
202,havelock,34.8791,-76.9013,25.98,80,20,10.29,US,1680370771
203,araouane,18.9048,-3.5265,31.77,5,0,4.0,ML,1680370985
204,tocopilla,-22.092,-70.1979,24.2,76,33,2.71,CL,1680370985
205,urumqi,43.801,87.6005,-0.47,29,0,2.0,CN,1680370985
206,puno,-15.8333,-70.0333,11.75,51,74,4.73,PE,1680370765
207,fengzhen,40.4394,113.1536,9.01,73,61,6.12,CN,1680370986
208,paamiut,61.994,-49.6678,-3.83,58,99,4.69,GL,1680370986
209,sioux lookout,50.1001,-91.917,-1.96,31,20,1.54,CA,1680370908
210,port-gentil,-0.7193,8.7815,26.98,89,40,2.57,GA,1680370989
211,lompoc,34.6391,-120.4579,18.25,71,0,4.63,US,1680370990
212,naze,28.3667,129.4833,16.51,89,39,3.77,JP,1680370990
213,carnarvon,-24.8667,113.6333,24.6,77,53,5.59,AU,1680370990
214,ereymentau,51.6199,73.1033,-1.83,45,0,6.07,KZ,1680370991
215,kerouane,9.2667,-9.0167,32.6,25,63,1.84,GN,1680370991
216,mayahi,13.9553,7.6712,29.27,10,23,4.8,NE,1680370991
217,ulladulla,-35.35,150.4667,14.32,89,88,3.6,AU,1680370992
218,huanan,46.2167,130.5167,9.01,49,100,2.12,CN,1680370992
219,pangkalanbuun,-2.6833,111.6167,22.96,98,97,1.0,ID,1680370993
220,raichur,16.2,77.3667,30.08,20,79,4.0,IN,1680370993
221,saint-philippe,-21.3585,55.7679,26.77,83,55,4.86,RE,1680370993
222,gallup,35.5281,-108.7426,8.91,33,0,0.89,US,1680370993
223,kudymkar,59.0173,54.656,1.93,89,82,4.31,RU,1680370994
224,simplicio mendes,-7.8539,-41.9103,32.97,32,90,3.21,BR,1680370994
225,abu dhabi,24.4667,54.3667,23.06,81,20,5.14,AE,1680370785
226,miles city,46.4083,-105.8406,8.54,49,75,3.6,US,1680370996
227,dingle,10.9995,122.6711,24.53,87,73,2.47,PH,1680370970
228,artvin,41.1667,41.8333,2.26,59,7,1.53,TR,1680370997
229,lebu,-37.6167,-73.65,14.65,82,57,5.66,CL,1680370997
230,boguchany,58.3814,97.4531,-13.75,96,46,0.8,RU,1680370997
231,sao filipe,14.8961,-24.4956,26.36,62,0,2.77,CV,1680370998
232,isangel,-19.55,169.2667,25.5,86,9,1.87,VU,1680370999
233,brownsville,25.9018,-97.4975,28.94,72,100,4.63,US,1680370999
234,talcahuano,-36.7167,-73.1167,21.82,49,0,6.69,CL,1680370999
235,badami,15.915,75.6768,26.96,41,64,5.17,IN,1680371001
236,leningradskiy,69.3833,178.4167,-14.14,93,100,12.25,RU,1680371001
237,victor harbor,-35.5667,138.6167,9.27,72,69,2.82,AU,1680371001
238,torbay,47.6666,-52.7314,5.98,52,75,8.23,CA,1680371001
239,eureka,40.8021,-124.1637,11.78,92,100,1.34,US,1680370866
240,saint-joseph,-21.3667,55.6167,26.21,92,62,0.67,RE,1680371002
241,meulaboh,4.1363,96.1285,25.09,86,85,1.66,ID,1680371002
242,oshkosh,44.0247,-88.5426,0.04,77,100,9.26,US,1680370731
243,jaragua,-15.7569,-49.3344,29.43,53,18,1.49,BR,1680371002
244,darnetal,49.4453,1.1514,11.18,85,100,5.14,FR,1680371003
245,kaduqli,11.0167,29.7167,28.55,9,98,3.63,SD,1680371003
246,rincon,32.296,-81.2354,28.84,51,75,7.2,US,1680370866
247,rio grande,-32.035,-52.0986,24.06,43,18,5.72,BR,1680371004
248,muhoroni,-0.1541,35.1988,18.58,96,79,0.11,KE,1680371005
249,carballo,43.213,-8.691,15.01,75,66,2.52,ES,1680371005
250,tabuk,17.4189,121.4443,22.47,95,6,1.64,PH,1680371005
251,bengkulu,-3.8004,102.2655,23.66,90,100,1.89,ID,1680371005
252,yerbogachen,61.2767,108.0108,-27.02,100,25,1.65,RU,1680371007
253,susanville,40.4163,-120.653,6.91,64,100,5.81,US,1680371007
254,tautira,-17.7333,-149.15,27.49,77,8,4.59,PF,1680371008
255,koslan,63.4564,48.8989,-4.04,96,100,1.81,RU,1680371009
256,muzhi,65.3667,64.6667,2.02,94,100,7.32,RU,1680371009
257,pemba,-12.974,40.5178,26.39,83,75,2.57,MZ,1680371010
258,luderitz,-26.6481,15.1594,15.46,95,26,2.44,NA,1680371010
259,odweyne,9.4092,45.064,24.75,60,100,2.3,SO,1680371011
260,bambous virieux,-20.3428,57.7575,26.79,78,20,2.57,MU,1680370979
261,orlovo,51.754,39.5873,6.16,97,100,3.89,RU,1680371011
262,iberia,29.9502,-91.7507,28.87,61,40,3.6,US,1680371011
263,provideniya,64.3833,-173.3,-5.66,96,100,2.79,RU,1680371011
264,bahia blanca,-38.7196,-62.2724,21.01,32,100,6.26,AR,1680370801
265,estelle,29.8458,-90.1067,30.56,70,75,4.63,US,1680371012
266,marsa matruh,31.3525,27.2453,20.11,40,0,4.12,EG,1680371013
267,la ronge,55.1001,-105.2842,-3.86,68,100,6.69,CA,1680371013
268,tuy hoa,13.0833,109.3,22.54,91,33,1.54,VN,1680371014
269,edmundston,47.3737,-68.3251,1.13,90,100,7.72,CA,1680371014
270,riyadh,24.6877,46.7219,19.08,17,27,5.36,SA,1680370454
271,andenes,69.3143,16.1194,-0.01,59,100,7.2,NO,1680371015
